Name,Email,ProfileId
Yusuf Bey,kiliccinsaat34@gmail.com,79095b97-b895-4e6e-bfab-84fdc42bc691
Sevinç Hanım,sevinc@manager.com,0607c171-6254-48af-a81a-69680d078c37
Ela Hanım,ela@rep.com,e75c021c-bdf2-406c-928c-40316f842985
Elif Hanım,elif@rep.com,d83f659d-d1d4-45d4-ae1c-4b63c71cabf0
Esra Hanım,esra@rep.com,844b80b7-2a26-4fb0-8cc8-bcfbebb91739
İrem Hanım,irem@rep.com,672395ec-001a-44dc-b736-29db20cec8a7
Kübra Hanım,kubra@rep.com,fd41f125-95dc-41bb-b967-e06813cd149c
Nazar Hanım,nazar@rep.com,
Melek Hanım,melek@rep.com,
Özlem Hanım,ozlem@rep.com,
Tugba Hanım,tugba@rep.com,
Rabia Hanım,rabia@rep.com,
